Zipcode,Deliveries,Failed,Area,x_centroid,y_centroid,Dist,Price
2630,581,61,11.03725927,4.3825555,51.1318626,,
2000,2.909,289,5.985589698,4.3970156,51.214016,,
2018,1.980,245,3.692569224,4.4165101,51.2059669,,
2020,562,97,7.72197577,4.3851314,51.1908493,,
2030,488,35,49.80997908,4.3685141,51.2736282,,
2040,354,29,36.73831424,4.2975311,51.3440971,,
2050,306,27,9.400885701,4.3592277,51.2347794,,
2060,828,154,3.015491374,4.4278717,51.2275772,,
2100,1.661,76,10.54356371,4.4683414,51.21595,,
2140,909,110,3.807112932,4.4450879,51.2114944,,
2170,1.036,106,7.425142892,4.4444818,51.2514954,,
2180,608,63,7.461407289,4.4307103,51.2833595,,
2600,1.429,100,5.519289762,4.4319358,51.1921158,,
2610,1.240,52,11.18450252,4.3880129,51.1643524,,
2660,773,70,9.206703916,4.3493695,51.176693,,
2530,342,18,10.86631812,4.507339,51.1606293,,
2531,91,10,6.761191562,4.5361772,51.1759834,,
2850,437,70,5.263066016,4.3729053,51.0935669,,
2150,245,14,3.912696987,4.4877014,51.191433,,
2930,1.553,86,33.31369525,4.5005713,51.3096619,,
2960,954,127,72.653897,4.628304,51.3359947,,
2650,778,46,7.762112595,4.4329681,51.1562195,,
2910,625,67,47.51802401,4.4658833,51.4493828,,
2620,291,24,4.623303141,4.3401499,51.1436501,,
2540,271,9,5.453413412,4.4823508,51.1471291,,
2920,702,40,55.01518522,4.4687634,51.3987617,,
2950,1.001,119,36.04101056,4.4436202,51.333847,,
2550,1.028,47,23.4706026,4.4446778,51.1237068,,
2547,301,8,5.591488838,4.4981093,51.1276932,,
2640,898,65,5.868082028,4.4609308,51.1745987,,
2845,258,42,4.35188067,4.3356371,51.1073151,,
2520,526,20,41.21215338,4.5906439,51.1927605,,
2840,550,90,19.95098691,4.4211679,51.0938148,,
2627,286,30,7.656816371,4.342833,51.1226082,,
2970,801,79,34.85868025,4.5816083,51.2562065,,
2900,1.123,83,26.43389314,4.5082703,51.264122,,
2940,624,54,19.73630947,4.376864,51.3285637,,
2110,545,27,7.907361418,4.5170641,51.2293549,,
2160,489,27,12.59673687,4.5190063,51.2066116,,
2990,607,70,88.89320494,4.6004477,51.3940353,,
2240,305,39,19.79680526,4.6570773,51.2094955,,
2242,88,9,10.30270573,4.7060194,51.2268372,,
2243,108,6,9.925217867,4.6958928,51.1985893,,
2980,739,76,38.64318171,4.6706772,51.2575607,,
2070,633,46,19.62938025,4.323329,51.2249069,,
2390,543,48,51.36918837,4.7132363,51.293541,,
1730,577,59,36.96956127,4.2007308,50.9108238,,
1731,238,28,9.298224814,4.2745218,50.8926201,,
1650,164,9,6.615913883,4.3126965,50.7662315,,
1651,100,14,3.855682716,4.2794943,50.7660141,,
1652,145,16,6.234805748,4.3280725,50.7474899,,
1653,196,21,10.43195373,4.2985969,50.7337608,,
1654,48,7,2.916798279,4.2738566,50.7485352,,
1547,55,13,19.11249036,3.9322591,50.7106438,,
1700,579,136,19.77446783,4.2394328,50.8589211,,
1701,138,30,5.414316326,4.2326117,50.831543,,
1702,279,25,5.666360557,4.2627411,50.8724174,,
1703,142,32,8.315021276,4.2000427,50.8394966,,
1570,283,41,35.26587799,3.9879332,50.7528992,,
1755,213,36,40.26117489,4.0956988,50.7808609,,
1850,591,35,21.47879255,4.3851385,50.9407425,,
1851,202,4,7.94271636,4.3787475,50.9713783,,
1852,86,0,3.859281763,4.3633871,50.9546738,,
1853,431,29,4.661864027,4.3431187,50.9092445,,
1500,602,76,29.25063585,4.2403717,50.7306061,,
1501,118,20,3.592953339,4.262332,50.7373924,,
1502,178,29,11.04351227,4.2182508,50.7101822,,
1540,148,13,33.11337459,4.0518527,50.729332,,
1541,37,6,10.36913079,3.9928567,50.7042885,,
1560,435,40,7.932711005,4.4508805,50.7610321,,
1910,450,43,33.41928691,4.5605979,50.9412003,,
1880,271,10,15.04558798,4.354682,51.0035896,,
1770,277,16,9.745205998,4.0930161,50.8665657,,
1840,530,57,36.52284002,4.2765403,51.0106201,,
1830,217,13,5.224318009,4.442771,50.9115295,,
1831,686,23,4.81470117,4.4450212,50.8929558,,
1931,0,0,0,4.4541388,50.9065323,,
1934,0,0,0,4.4529452,50.9078064,,
1860,379,38,11.27766822,4.3250299,50.9436569,,
1861,269,28,20.61805813,4.3090391,50.9733276,,
1785,434,33,36.7435984,4.2470384,50.95121,,
1745,402,37,19.93523809,4.1807189,50.9624481,,
3090,954,38,43.42647088,4.5328526,50.7713013,,
1670,85,14,25.91793366,4.1388092,50.7421455,,
1671,8,0,3.015673667,4.1748829,50.7802963,,
1673,29,8,2.894716263,4.1813245,50.7337914,,
1674,16,0,3.99660001,4.1589656,50.7380867,,
1600,544,56,27.68443109,4.2432795,50.7808647,,
1601,109,14,1.024992436,4.2966495,50.7846794,,
1602,92,5,10.13799244,4.2306433,50.8057556,,
1820,437,22,17.72475313,4.4991479,50.9210663,,
1740,265,25,9.755382419,4.1799755,50.8731689,,
1741,80,10,7.474441141,4.1555729,50.8557091,,
1742,163,20,5.580883414,4.1358609,50.8757286,,
1800,2.000,142,21.35109018,4.4339147,50.9302101,,
1818,0,0,0,4.3981681,50.9135284,,
1930,1.018,19,11.9114965,4.487155,50.8828392,,
1932,454,20,5.455709539,4.4443297,50.868515,,
1933,359,14,7.825024597,4.5106883,50.8563194,,
1980,340,29,26.15632883,4.433723,50.979084,,
1981,166,24,4.699798658,4.5029588,50.9929237,,
1982,310,29,10.18128026,4.4939222,50.9705734,,
1760,263,17,16.91021971,4.0904217,50.8346214,,
1761,69,5,3.75978291,4.127491,50.8498154,,
1620,128,18,2.53042236,4.3088136,50.7937965,,
1950,531,15,5.849323481,4.4713964,50.845356,,
1630,156,32,4.192670822,4.345571,50.7678719,,
1640,599,72,16.22217947,4.3737111,50.7445679,,
1780,330,34,7.133557141,4.3094397,50.9096107,,
1970,531,29,6.855154693,4.4924951,50.8429604,,
1750,240,33,31.14319053,4.16366,50.8131905,,
1790,409,40,17.89949451,4.1157031,50.9041519,,
3200,685,83,26.45062962,4.824923,50.9803123,,
3201,263,32,20.67396052,4.8914247,51.0110207,,
3202,162,21,15.9089573,4.8955603,50.974472,,
3130,328,43,17.65012513,4.7846565,51.0070648,,
3460,165,13,28.933442,4.9870372,50.9399071,,
3461,37,5,7.762025237,4.9430189,50.9134445,,
3060,208,3,14.90446737,4.6289716,50.8620491,,
3061,129,2,15.04862049,4.5909338,50.8454399,,
3360,388,48,33.214913,4.7673769,50.8301506,,
3190,243,14,9.669630855,4.5783739,50.9755363,,
3191,215,23,7.127543807,4.5422039,50.9849281,,
3370,390,43,27.07305534,4.8427887,50.835186,,
3290,512,19,31.37817028,5.0845122,51.0025749,,
3293,85,3,4.224814206,5.0280757,50.9791336,,
3294,158,10,12.05636606,5.0295119,51.005764,,
3450,90,7,19.37453204,5.1094146,50.8916092,,
3454,49,5,16.18043029,5.1570897,50.8915558,,
3150,540,64,30.70830598,4.6411519,50.9640236,,
3020,831,114,27.31485207,4.6465578,50.9105759,,
3320,244,23,20.08075111,4.8629985,50.7844887,,
3321,30,2,5.199095398,4.9264951,50.7590523,,
3220,291,67,25.89105849,4.7873182,50.9206123,,
3221,132,34,12.88036194,4.8308902,50.9479065,,
3040,307,15,40.02676125,4.611939,50.7898521,,
3140,488,75,18.54468024,4.6543427,51.0051193,,
3470,66,7,14.95619473,5.0514436,50.8971558,,
3471,54,5,10.10590936,5.0051017,50.8665619,,
3472,47,4,11.014763,5.0064092,50.8942604,,
3473,69,4,8.662727118,5.0018044,50.9138985,,
3070,335,19,3.769387439,4.5380158,50.8846207,,
3071,266,12,16.02576301,4.572854,50.9050674,,
3078,260,12,9.645963103,4.5734448,50.8745041,,
3400,261,26,26.44710903,5.0413899,50.7643852,,
3401,100,16,7.957414716,5.083725,50.7253876,,
3404,62,10,5.653774835,5.0908136,50.7723579,,
3000,2.317,307,10.95929981,4.7121148,50.8701134,,
3001,1.119,298,19.76738302,4.6807604,50.8571167,,
3010,1.145,265,13.02196348,4.7366281,50.8894691,,
3012,384,50,8.92878826,4.7136154,50.9150467,,
3018,125,16,4.594494402,4.694612,50.933239,,
3210,400,56,29.32945457,4.8220997,50.8867493,,
3211,46,5,7.80903399,4.8924146,50.8723831,,
3212,114,12,8.123865962,4.7899394,50.874733,,
3050,139,42,7.531568825,4.6613803,50.8296242,,
3051,77,23,3.962453276,4.6503654,50.8044968,,
3052,86,17,4.153104186,4.7102647,50.8256302,,
3053,125,44,12.91778001,4.7052984,50.8167648,,
3054,8,3,2.591683343,4.6888618,50.822113,,
3110,396,66,17.101996,4.7296491,50.9566078,,
3111,157,25,8.517769814,4.7671199,50.9480896,,
3118,140,21,9.794442892,4.7078018,50.9743576,,
3080,1.075,46,22.38772427,4.5245237,50.8216362,,
3300,1.113,142,65.75785343,4.941977,50.8118515,,
3120,324,46,12.18336022,4.7091541,50.9942169,,
3128,205,26,9.728841811,4.748692,51.0053062,,
3440,280,45,46.79124539,5.101131,50.8351669,,
3350,215,33,35.65549105,5.0420041,50.8207779,,
3270,251,12,13.00106363,4.977592,50.9708824,,
3271,284,9,24.15063298,4.9790459,51.0092392,,
3272,172,8,12.57657975,4.9378891,51.0047913,,
3390,345,39,38.00078341,4.8934259,50.9281273,,
3391,36,5,6.579198599,4.9151344,50.895916,,
3380,106,9,16.97236912,4.9541988,50.8602066,,
3381,29,2,5.175226688,4.9589605,50.8877831,,
3384,24,6,4.675014764,4.9212584,50.8692169,,
8730,386,29,62.98543482,3.3367052,51.1506882,,
8370,373,9,17.5747053,3.1402564,51.3003197,,
8000,1.488,32,26.89199702,3.2129681,51.233696,,
8200,925,21,32.25890051,3.1829286,51.1886635,,
8310,1.050,40,22.65387668,3.2666266,51.2074776,,
8380,287,25,43.79809728,3.2135844,51.3047485,,
8340,267,18,90.26363179,3.3274989,51.2522278,,
8490,449,28,50.33025381,3.0963526,51.1886368,,
8020,698,47,80.15597171,3.2303138,51.1193237,,
8820,485,46,41.9107296,3.0954585,51.0623207,,
8210,570,35,38.88703392,3.155978,51.1316795,,
8211,113,4,21.14376336,3.0937903,51.1171532,,
8377,53,2,49.01229545,3.1314359,51.2539368,,
8300,639,38,44.33448698,3.3264046,51.3329239,,
8301,319,9,11.93911933,3.2553384,51.3240204,,
9880,531,56,70.12048745,3.436178,51.0758629,,
9881,80,10,12.26999992,3.4976735,51.0917244,,
9800,819,73,70.13011876,3.5163865,50.9903717,,
9840,385,35,15.71737947,3.6693449,50.9858398,,
9070,598,43,26.6661064,3.8092971,51.0441246,,
9940,911,37,74.44503631,3.7080631,51.1433105,,
9890,430,62,32.65460356,3.6855786,50.9289551,,
9000,4.765,647,36.04661342,3.7242591,51.0603104,,
9030,437,23,6.282714605,3.676398,51.0742722,,
9031,442,24,23.16327469,3.6329646,51.0512009,,
9032,585,27,9.90250811,3.7144346,51.0893135,,
9040,928,86,6.830316834,3.7619979,51.0643196,,
9041,526,34,11.23122296,3.7780111,51.0885201,,
9042,87,6,23.45625567,3.799495,51.1481361,,
9050,1.030,93,9.036483336,3.7644401,51.0367355,,
9051,347,35,9.374219105,3.6701968,51.0241013,,
9052,383,33,11.19223719,3.7082233,51.0035286,,
9910,210,26,37.4610337,3.4515481,51.1326828,,
9080,657,44,60.17614189,3.8570595,51.1029205,,
9920,240,16,15.88192388,3.6225796,51.1048241,,
9921,30,0,1.184176296,3.6393938,51.0850639,,
9090,409,19,15.35857752,3.7964103,50.9968338,,
9820,846,139,35.32329486,3.7407603,50.9744339,,
9180,173,4,33.51406842,3.9450052,51.182354,,
9810,373,51,31.48453268,3.6098163,50.9569702,,
9850,420,31,48.57917839,3.5537632,51.0578957,,
9860,364,59,42.01650965,3.7971826,50.9388123,,
9830,308,46,7.592013255,3.6294932,51.0157928,,
9831,141,14,5.472373292,3.6103327,50.999382,,
9950,228,8,21.14551806,3.6096516,51.1520805,,
9185,157,4,24.88733999,3.8733182,51.1802597,,
9930,165,16,27.30597407,3.5610375,51.1177292,,
9931,25,4,7.319675803,3.5425668,51.1512985,,
9932,7,2,0.775901288,3.5475099,51.1333656,,
9870,482,43,31.30606577,3.472672,50.9373703,,
7160,0,0,0,4.2875443,50.4623528,,
6000,0,0,0,4.4484463,50.4163437,,
6001,0,0,0,4.4400516,50.382164,,
6010,0,0,0,4.4717097,50.387291,,
6020,0,0,0,4.4269185,50.4172325,,
6030,0,0,0,4.3893695,50.4113083,,
6031,0,0,0,4.3768363,50.4169235,,
6032,0,0,0,4.4095411,50.3826027,,
6040,0,0,0,4.4351735,50.4446907,,
6041,0,0,0,4.443069,50.4693871,,
6042,0,0,0,4.4452081,50.4308624,,
6043,0,0,0,4.4823871,50.4552727,,
6044,0,0,0,4.3899961,50.4398499,,
6060,0,0,0,4.4854136,50.4279785,,
6061,0,0,0,4.4740171,50.4070435,,
6200,0,0,0,4.5222158,50.3970108,,
6180,0,0,0,4.3720675,50.4614372,,
6181,0,0,0,4.3216987,50.4934845,,
6182,0,0,0,4.3422952,50.4464531,,
6183,0,0,0,4.3232517,50.4634552,,
6240,0,0,0,4.5468435,50.4343834,,
6220,0,0,0,4.528389,50.4708481,,
6221,0,0,0,4.5291529,50.5107422,,
6222,0,0,0,4.5631876,50.5302391,,
6223,0,0,0,4.529779,50.5221939,,
6224,0,0,0,4.5784969,50.4761505,,
6140,0,0,0,4.3224411,50.4116554,,
6141,0,0,0,4.3215742,50.4319229,,
6142,0,0,0,4.321579,50.3877144,,
6280,0,0,0,4.528029,50.3474197,,
7170,0,0,0,4.2381773,50.4934196,,
6110,0,0,0,4.3777685,50.3722,,
6111,0,0,0,4.3528414,50.3880234,,
6230,0,0,0,4.372756,50.5141373,,
6238,0,0,0,4.4116464,50.5129433,,
7180,0,0,0,4.2683434,50.526371,,
7181,0,0,0,4.2597842,50.5602188,,
6250,0,0,0,4.5767727,50.4047966,,
6210,0,0,0,4.4404092,50.5335579,,
6211,0,0,0,4.4821577,50.5034943,,
3665,171,9,13.87986885,5.5709982,51.0040169,,
3668,118,9,7.315513402,5.6127491,51.0179329,,
3580,217,9,7.570536882,5.2231216,51.0457153,,
3581,227,14,16.59388514,5.2482963,51.0901642,,
3582,517,26,30.86261623,5.2806931,51.0705948,,
3583,427,15,21.52719072,5.1732574,51.0477257,,
3590,621,58,41.38329694,5.4173803,50.9115105,,
3600,2.005,88,80.9288328,5.4948502,50.9671898,,
3890,177,12,35.99661307,5.1610756,50.7316017,,
3891,61,3,9.404014215,5.1907229,50.7524986,,
3545,330,41,35.76207402,5.0941644,50.9501648,,
3500,2.220,193,50.6687218,5.3437734,50.9268684,,
3501,9,1,1.077112466,5.3527894,50.8798218,,
3510,177,8,11.47359496,5.2418375,50.9484444,,
3511,474,37,25.84670857,5.2950845,50.9567261,,
3512,136,3,12.02803171,5.2480321,50.9173355,,
3540,453,55,43.03356244,5.1778135,50.937355,,
3970,276,31,13.00662774,5.2658963,51.1209106,,
3971,125,8,9.541390672,5.2294765,51.1126633,,
3560,590,65,59.41885816,5.1833134,50.9953194,,
3850,170,12,22.52137741,5.2049184,50.8795319,,
3660,376,37,25.16502498,5.5713272,51.0403404,,
3800,966,122,86.88292478,5.2164459,50.8114929,,
3803,57,7,7.260612667,5.1516647,50.8334618,,
3806,50,11,10.31911367,5.1351609,50.7791939,,
3980,658,16,50.17393025,5.0695858,51.054821,,
3520,792,48,32.70458288,5.3765903,50.9918747,,
3690,223,10,31.98211537,5.5753703,50.9327011,,
3945,383,21,30.88183011,5.1608481,51.1002197,,
3550,1.078,22,44.36428837,5.289227,51.019825,,
3950,424,32,55.25765994,5.5640244,51.1869736,,
3960,500,28,64.93507925,5.6324892,51.1418343,,
3640,438,22,54.58678025,5.7602034,51.1530037,,
3920,1.100,136,93.50683951,5.3021317,51.2256393,,
3680,796,50,76.84668084,5.7150998,51.0879517,,
3910,564,71,42.43367809,5.4595342,51.2288399,,
3900,536,96,34.50592396,5.3936219,51.2002792,,
3990,502,35,82.58419338,5.4615307,51.1283569,,
3930,492,56,39.49461696,5.5073476,51.2601395,,
3940,210,22,16.74351615,5.3415451,51.117878,,
3941,176,16,40.49011019,5.3507566,51.1568375,,
3530,949,12,73.78904753,5.4084063,51.0452652,,
3670,402,28,82.64107856,5.5521569,51.0843849,,
3650,679,42,55.69107193,5.7121649,51.0360184,,
3570,423,28,27.48736413,5.2904177,50.8783493,,
3740,916,45,65.52457474,5.5324502,50.8721237,,
3742,25,0,2.099343717,5.5328927,50.8527603,,
3746,17,0,3.995457441,5.5552998,50.8824768,,
3840,248,14,45.95098314,5.3408308,50.8047028,,
3870,158,10,45.7754591,5.3123908,50.7536354,,
3717,0,0,0,5.4251018,50.7260704,,
3730,338,23,27.68430854,5.4744701,50.8453522,,
3732,21,0,2.427878663,5.4489503,50.8420525,,
3720,117,13,10.84589601,5.3782024,50.8660278,,
3721,54,9,6.36054033,5.4309521,50.8677559,,
3722,16,4,4.0969529,5.4093709,50.855648,,
3723,25,3,3.53004837,5.3990159,50.8428307,,
3724,72,4,9.182366371,5.4223733,50.830246,,
3620,726,59,36.45412239,5.6380968,50.888916,,
3621,166,12,15.16217163,5.6621475,50.9284897,,
3770,515,14,54.19839298,5.5921259,50.8053665,,
3700,1.004,105,74.21877482,5.4645982,50.7717743,,
3830,203,11,19.59450266,5.3326297,50.8430939,,
3831,1,0,1.303276777,5.3329344,50.8270454,,
3832,22,3,5.915262371,5.2907023,50.8446121,,
3630,894,47,50.92430693,5.6700015,50.9735374,,
3631,97,5,8.007179767,5.7257943,50.9401665,,
3790,34,1,15.93324551,5.8081756,50.7438889,,
3791,5,2,8.647414297,5.8833265,50.7297745,,
3792,2,0,0.168139651,5.8256907,50.7265282,,
3793,5,0,5.269633234,5.872344,50.7523499,,
3798,21,1,13.36592747,5.7724504,50.7604599,,
1070,1.770,202,17.52280439,4.2929349,50.828968,,
